"Bola","soma 10 anos"
"1","125"
"2","120"
"3","112"
"4","114"
"5","120"
"6","131"
"7","110"
"8","118"
"9","129"
"10","164"
"11","149"
"12","102"
"13","122"
"14","129"
"15","99"
"16","126"
"17","126"
"18","118"
"19","126"
"20","129"
"21","100"
"22","122"
"23","137"
"24","111"
"25","138"
"26","106"
"27","136"
"28","126"
"29","116"
"30","136"
"31","105"
"32","136"
"33","133"
"34","148"
"35","151"
"36","122"
"37","146"
"38","148"
"39","127"
"40","112"
"41","130"
"42","132"
"43","131"
"44","137"
"45","138"
"46","150"
"47","113"
"48","117"
"49","119"
"50","109"
"51","113"
"52","112"
"53","145"
"54","111"
"55","101"
"56","137"
"57","121"
"58","120"
"59","117"
"60","122"
