"Bola","QTD"
"1","278"
"2","283"
"3","264"
"4","299"
"5","306"
"6","285"
"7","270"
"8","280"
"9","267"
"10","333"
"11","300"
"12","270"
"13","292"
"14","275"
"15","246"
"16","294"
"17","298"
"18","271"
"19","274"
"20","281"
"21","239"
"22","254"
"23","298"
"24","283"
"25","284"
"26","235"
"27","298"
"28","294"
"29","285"
"30","301"
"31","261"
"32","302"
"33","308"
"34","309"
"35","299"
"36","289"
"37","307"
"38","302"
"39","274"
"40","265"
"41","296"
"42","303"
"43","300"
"44","299"
"45","281"
"46","299"
"47","273"
"48","263"
"49","289"
"50","281"
"51","288"
"52","284"
"53","322"
"54","293"
"55","244"
"56","294"
"57","274"
"58","277"
"59","278"
"60","273"
